station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR,S.SATHISH KUMAR,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
147,9,317,54,16,0,0,34,1,1,0,0,2,1,4,2,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,4,450,5,456
148,3,264,65,10,0,1,25,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1,372
149,0,132,13,194,0,0,13,0,1,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,362,2,364
150,3,249,35,33,0,1,16,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,347,2,349
151,2,282,18,217,1,0,32,0,0,0,3,2,0,2,1,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,566,10,575
152,0,144,22,177,1,1,10,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,366,9,374
153,0,105,6,234,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,6,356
154,0,159,17,330,0,1,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,523,6,528
155,0,135,14,231,0,0,24,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,408,4,411
156,0,85,7,186,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,3,288
157,1,37,5,300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,347,4,350
158,1,165,10,106,0,0,3,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,291,6,297
159,2,65,1,208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,1,278
160,2,371,61,60,0,0,23,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,524,4,529
161,1,314,58,156,0,0,36,0,0,0,1,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,574,5,581
162,0,122,12,272,0,0,9,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,419,7,425
163,2,214,27,6,0,0,11,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,270,1,271
164,0,297,22,12,0,0,40,0,0,1,0,1,1,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,384,3,386
165,2,405,72,30,0,1,58,0,0,1,4,0,1,4,2,0,0,2,0,0,2,1,1,1,0,0,1,0,0,0,1,589,5,595
166,2,152,20,7,0,0,19,1,0,0,1,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,210,2,212
167,1,216,35,10,1,0,13,0,0,1,2,0,1,2,0,1,0,3,2,2,0,0,0,0,0,0,0,0,1,0,1,292,0,290
168,4,419,45,16,0,1,73,0,0,0,2,2,0,3,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,574,9,583
169,3,502,67,23,2,0,34,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,643,7,649
170,0,605,31,72,0,1,26,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,741,5,746
171,0,646,79,51,0,1,33,0,0,1,3,1,0,3,0,2,1,2,0,0,2,0,0,1,0,0,2,0,0,0,1,829,6,836
172,2,495,29,87,0,0,23,0,0,0,3,4,0,1,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,652,1,654
173,2,483,54,84,0,1,24,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,654,11,665
174,0,454,23,67,1,0,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,566,3,570
